file,Pole Height - AGL,pole height,status
N109_NAT_Revised_As_Built.pdf,39.00,39.17,False
AT90XSJ62NAT_Revised_As_Built.pdf,38.58,38.25,False
COP-DTE-008-15538919-As-Built_Construction_Drawings.pdf,27.50,27.50,True
COP-DTE-009-15538875-As-Built_Construction_Drawings.pdf,27.50,27.50,True
COP-DTE-042-15538965-As-Built_Construction_Drawings.pdf,27.50,27.50,True
COP-DTE-057-15538869-As_Built_Construction_Drawings.pdf,27.75,27.75,True
COP-DTE-060-15538859-As-Built_Construction_Drawings.pdf,27.50,27.50,True
COP-DTE-077-15538829-As_Built.pdf,27.50,27.50,True
COP-DTE-082-15538841-As-Built.pdf,27.50,27.50,True
COP-DTE-091-15538633-As_Built_Consturction_Drawings.pdf,27.50,27.50,True
COP-DTE-094-15538641-As-Built_Construction_Drawings.pdf,27.50,27.50,True
COP-DTE-185-15538663-As-Built_Construction_Drawings.pdf,27.50,27.50,True
ATH017_AsBuilt.pdf,33.75,34.25,False
DNW075_5G_Redlines_-_S1.pdf,38.08,38.08,True
COP-DTE-054-15538837-As-Built_Construction_Drawings.pdf,27.75,27.75,True
COP-DTE-139-15538609-As-Built_Construction_Drawings.pdf,27.50,27.50,True
COP-DTE-150-15538611-As-Built_Construction_Drawings.pdf,27.58,27.58,True
COP-DTE-401-15538781-As-Built_Construction_Drawings.pdf,27.83,27.83,True
COP-DTE-407-15538801-As_Built_Construction_Drawings.pdf,27.50,27.50,True
COP-DTE-276-15538459-As-Built_Construction_Drawing.pdf,27.50,27.50,True
COP-DTE-325-15538537-As-Built_Construction_Drawings.pdf,29.00,29.00,True
PHL-251_404352_NAT_Redlined_As-Built.pdf,47.00,45.00,False
PHL-124_404397_NAT_Redlined_As-Built.pdf,39.58,34.58,False
PL90XSEA7N18.L_PHL-132_RECORD_REV00_20200417.pdf,39.50,33.83,False
PHL-405-404486_NAT_Redlined_As-Built.pdf,44.00,45.33,False
MBC002_NAT_Revised_As_Built.pdf,29.50,39.67,False
PL90XSEW7N18.L_PHP565_RECORD_REV00_20200420.pdf,39.67,39.67,True
COP-DTE-370-15538745-As_Built_Construction_Drawings.pdf,27.50,27.50,True
PRT-005_NAT_Revised_As_Built.pdf,38.75,38.50,False
3702766_1576509284735_SM73_31_1_409748_NAT_Revised_As_Built.pdf,38.17,38.17,True
46_2_409801_Construction_Drawings.pdf,40.83,40.00,False
PHL-001m2_404216_NAT_Redlined_As-Built.pdf,30.42,30.58,False
CMD-025_NAT_Revised_As_Built.pdf,33.75,33.75,True
CMD-018_NAT_Revised_As_Built.pdf,34.00,34.00,True
PHP594_407549_NAT_Redlined_As-Built.pdf,39.58,39.75,False
CH4273BA_Elevation_NAT_Revised_As_Built.pdf,29.50,29.50,True
CH1381BA_439575_Elevation_As_Built.pdf,28.00,27.75,False
CH2314BA_Elevation_As_Built-Node.pdf,39.25,39.25,True
CH2300BA_11LAB_Elevation_NAT_Reviewed_As_Built.pdf,33.58,33.58,True
CH1424BA_81LAB_Elevation_As_Built.pdf,38.25,38.25,True
CHPH30587_SCU-469511_Redlines-Node.pdf,37.33,37.92,False
CH1509BA_91LAB_Elevation_As_Built-Node.pdf,39.00,38.83,False
CHPH30788_469865_NAT_Redlined_As-Built.pdf,39.00,39.00,True
CH2262BA_21LAB_Elevation_As_Built.pdf,38.57,38.58,False
CHPH32493_SCU-470217_NAT_Reviewed_Redline-Node.pdf,33.42,33.42,True
CH90XSQ40_403382_REDLINE-NODE.pdf,38.08,38.08,True
CH90XSGR3_431464_NAT_Reviewed_REDLINE-NODE.pdf,34.50,34.58,False
CH90XS689_439804_REDLINE-NODE.pdf,35.08,35.08,True
CH90XSL3Y_469964_REDLINE-NODE.pdf,34.83,34.50,False
As-Built_19-0293_Monroe_&_LSD_409240_CRC-DAS-392G_20190607_PM_approved_(1).pdf,34.33,35.33,False
Clark_&_Hubbard_SC_411224_Redline-Node.pdf,34.75,34.75,True
DesPlaines_&_Monroe_411503_NAT_Redlined_As-Built.pdf,34.58,34.58,True
